minutes,tags,accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30
7.47 AM,1,0.491676027,0.000682318,9.5867052,0.49079,0,9.58597,0.521914,0.0383056,9.61949,0.462061,-0.0311233,9.55724,8.22E-05,8.26E-05,8.61E-05,0.527235613,0.016765881,9.585146593,0.502761,0.00957639,9.58597,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.002331756,0.000735854,0.000112193,0.552654563,0.030275389,9.582436582,0.57219,0.0359115,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.002118526,0.000650112,0.000124082,0.558406993,0.033270408,9.580677436,0.565007,0.0359115,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.001356289,0.00042842,0.000123888,0.526816379,0.039251668,9.581030028,0.545855,0.0406997,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003829276,0.000578063,0.000136199
7.48 AM,0,0.490810165,-0.001400548,9.5856917,0.49079,-0.0023941,9.58597,0.514731,0.0311233,9.6147,0.464455,-0.0263351,9.55245,6.79E-05,8.68E-05,9.52E-05,0.508522531,0.007760075,9.585556767,0.495578,0.0023941,9.58597,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.001594356,0.000578236,0.000112282,0.547710746,0.026881752,9.58302432,0.57219,0.0335174,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.002439212,0.000727417,0.00012232,0.553939403,0.031150034,9.581145272,0.557825,0.0335174,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.001541058,0.000480847,0.000124672,0.528309764,0.03748961,9.581212899,0.545855,0.0406997,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003652418,0.000624878,0.000137155
7.49 AM,0,0.491189217,0.000283302,9.5851411,0.49079,0,9.584775,0.519519,0.0287292,9.61231,0.466849,-0.0287292,9.54527,7.43E-05,8.57E-05,8.75E-05,0.492749399,0.000655983,9.58612175,0.493184,0,9.58597,0.529096,0.0526702,9.62428,0.43812,-0.0311233,9.54527,8.56E-05,9.07E-05,8.74E-05,0.538366573,0.022168967,9.583804365,0.509943,0.0167587,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.002492631,0.000716919,0.000118151,0.549489369,0.029085522,9.581650998,0.553037,0.0311233,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.001684153,0.000518826,0.000122925,0.52986247,0.035785676,9.581370503,0.545855,0.0383056,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003462342,0.000661457,0.000137499
7.50 AM,0,0.4900321,-0.000323203,9.58532845,0.49079,0,9.58597,0.519519,0.0263351,9.61709,0.462061,-0.023941,9.55964,8.58E-05,8.42E-05,9.16E-05,0.491519625,-8.54E-05,9.585895943,0.49079,0,9.58597,0.529096,0.0383056,9.61949,0.462061,-0.0311233,9.54527,7.93E-05,8.59E-05,8.80E-05,0.527889989,0.016967385,9.584690138,0.500367,0.00957639,9.58358,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.002279242,0.000644198,0.000105939,0.545035347,0.026991083,9.582175479,0.548249,0.0287292,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.001797934,0.000549825,0.000120817,0.531276318,0.034025082,9.581377686,0.545855,0.0383056,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003288237,0.000692585,0.000137236
7.51 AM,0,0.488292408,-0.000782073,9.583142033,0.488396,0,9.58358,0.521914,0.023941,9.61231,0.459667,-0.0263351,9.55245,7.98E-05,8.32E-05,8.70E-05,0.490399983,-0.000308041,9.585201697,0.49079,0,9.58597,0.521914,0.0383056,9.61949,0.459667,-0.0311233,9.54527,7.94E-05,8.50E-05,9.08E-05,0.518284866,0.012519547,9.585084748,0.495578,0.0047882,9.58597,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.002026258,0.00058427,0.000102689,0.541380356,0.025331373,9.582512228,0.545855,0.0287292,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.48781,0.00192604,0.000582467,0.000116965,0.532637365,0.032235625,9.581412525,0.545855,0.0359115,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.003114551,0.000717714,0.000137168
7.52 AM,0,0.486784095,-0.000315223,9.582363833,0.486002,0,9.58358,0.519519,0.023941,9.60991,0.450091,-0.0311233,9.55245,8.10E-05,8.32E-05,8.16E-05,0.489421597,-0.000507549,9.584333423,0.488396,0,9.58358,0.521914,0.0311233,9.61709,0.450091,-0.0311233,9.54527,8.05E-05,8.49E-05,9.03E-05,0.508328605,0.008129166,9.584740008,0.493184,0.0023941,9.58358,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.001563588,0.000484976,0.000101432,0.538064726,0.023899702,9.582759198,0.541066,0.0263351,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.48781,0.002058004,0.000613021,0.00011488,0.533913952,0.030461464,9.581382856,0.545855,0.0335174,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002947161,0.000735267,0.000136964
7.53 AM,0,0.487641993,-0.000151626,9.58464635,0.488396,0,9.58358,0.517125,0.0263351,9.6147,0.459667,-0.0263351,9.55724,7.95E-05,8.17E-05,0.000102589,0.488787963,-0.000257765,9.584124353,0.488396,0,9.58358,0.521914,0.0287292,9.61709,0.450091,-0.0311233,9.54527,8.26E-05,8.37E-05,9.14E-05,0.498655247,0.003751155,9.58484056,0.49079,0,9.58358,0.972004,0.25138,9.66498,0.179557,-0.296868,9.49739,0.00093586,0.000347035,0.000102367,0.534691437,0.022408776,9.582970872,0.533884,0.0215469,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.48781,0.002145061,0.000633807,0.000113538,0.535230973,0.028728268,9.581470636,0.545855,0.0335174,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002771637,0.000747945,0.000137713
7.54 AM,0,0.487306802,0.000335174,9.580157883,0.488396,0,9.57879,0.519519,0.0215469,9.6147,0.462061,-0.0263351,9.55006,8.20E-05,7.95E-05,8.55E-05,0.48801148,-0.00024739,9.58312771,0.488396,0,9.58358,0.521914,0.0263351,9.61709,0.450091,-0.0311233,9.55006,8.29E-05,8.25E-05,9.30E-05,0.49038044,0.000204297,9.58462473,0.49079,0,9.58358,0.529096,0.0526702,9.62428,0.43812,-0.0311233,9.54527,8.98E-05,8.68E-05,9.24E-05,0.528991282,0.019640598,9.583123099,0.509943,0.0167587,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.48781,0.002002783,0.000594778,0.000111819,0.536558899,0.027015822,9.581478496,0.545855,0.0311233,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002578237,0.000746895,0.000136401
7.55 AM,0,0.486257432,7.98E-06,9.582547617,0.486002,0,9.58358,0.514731,0.023941,9.60752,0.462061,-0.023941,9.55485,8.64E-05,7.94E-05,9.02E-05,0.487256546,-0.000181154,9.582571543,0.486002,0,9.58358,0.521914,0.0263351,9.6147,0.450091,-0.0311233,9.55006,8.22E-05,8.15E-05,9.15E-05,0.489388086,-0.000133272,9.584233743,0.488396,0,9.58358,0.529096,0.0383056,9.61949,0.450091,-0.0311233,9.54527,8.53E-05,8.37E-05,9.25E-05,0.525607222,0.017934003,9.583242401,0.502761,0.0119705,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.002038698,0.000594299,0.000109998,0.537900394,0.025269326,9.581418114,0.545855,0.0287292,9.58118,2.40607,0.641618,9.79905,-0.110129,-1.20184,9.16222,0.002387816,0.000746083,0.000136127
7.56 AM,0,0.486121757,-0.000873846,9.58115125,0.486002,0,9.58118,0.512337,0.023941,9.61709,0.459667,-0.0263351,9.54767,7.37E-05,8.76E-05,8.51E-05,0.486822416,-0.000199508,9.582173387,0.486002,0,9.58118,0.519519,0.0263351,9.61709,0.450091,-0.0311233,9.54767,8.08E-05,8.24E-05,9.13E-05,0.4886112,-0.000253775,9.583687542,0.488396,0,9.58358,0.521914,0.0383056,9.61949,0.450091,-0.0311233,9.54527,8.33E-05,8.37E-05,9.33E-05,0.522828672,0.016449661,9.583079217,0.497973,0.0071823,9.58358,0.972004,0.25138,9.70328,0.179557,-0.296868,9.49739,0.002096305,0.000604221,0.000109702,0.538031805,0.023400199,9.581380491,0.545855,0.0263351,9.58118,0.972004,0.25138,9.70328,0.179557,-0.296868,9.43514,0.002005303,0.000557081,0.000115456
