accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_variances20,accY_variances20,accZ_variances20,accX_variances30,accY_variances30,accZ_variances30,tags
1.8156724,0.218285982,9.434460767,1.95119,0.167587,9.4136,1.97513,0.476426,9.56442,1.08692,0.141252,9.38487,0.063072567,0.00928563,0.001999853,1.756153886,0.231919702,9.444325819,1.94401,0.172375,9.41838,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.064813639,0.007762057,0.001979621,1.726571645,0.240968062,9.44929983,1.93922,0.177163,9.42078,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.067603702,0.007878678,0.002030588,0.064417533,0.008224555,0.001936407,0.052340465,0.007564023,0.001555544,1
1.439101217,0.338769005,9.4986666,1.43885,0.337568,9.49739,1.47955,0.366297,9.52612,1.41252,0.313627,9.47106,0.000105442,8.28E-05,8.42E-05,1.668712117,0.261074507,9.459189867,1.45082,0.327992,9.48542,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.06931638,0.008177334,0.00208017,1.673787307,0.258537953,9.4582773,1.45082,0.325597,9.48542,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.069902159,0.008087201,0.00210591,0.067285329,0.007947475,0.002003478,0.053657928,0.007387049,0.001585404,1
1.428622833,0.340233362,9.499975267,1.42928,0.339962,9.49978,1.45322,0.363903,9.53091,1.40534,0.316021,9.47345,6.72E-05,7.54E-05,8.99E-05,1.579662903,0.290826499,9.474292617,1.43407,0.335174,9.495,1.97753,0.476426,9.56442,1.08692,0.126887,9.38247,0.058664802,0.006857368,0.001773457,1.62050945,0.276276629,9.467071232,1.43407,0.335174,9.4926,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.066521599,0.007643338,0.001998807,0.068950813,0.007579976,0.002017598,0.054950526,0.00722071,0.001612591,1
1.424368967,0.341087287,9.499692083,1.42449,0.339962,9.49978,1.44843,0.368691,9.52851,1.40294,0.313627,9.47106,6.17E-05,8.63E-05,8.18E-05,1.489848233,0.320825217,9.489569658,1.42688,0.339962,9.49978,1.97513,0.476426,9.56442,1.08692,0.141252,9.38487,0.031861445,0.00372058,0.001013298,1.56669092,0.294003732,9.476085002,1.42688,0.337568,9.495,1.97992,0.476426,9.56442,1.08692,0.126887,9.38247,0.057230626,0.006566163,0.001712227,0.067504935,0.007453405,0.001962689,0.056194913,0.007054029,0.001641692,0
1.4168311,0.343038448,9.5018627,1.41731,0.342356,9.50218,1.44364,0.373479,9.53091,1.39097,0.318415,9.47345,6.22E-05,8.53E-05,8.09E-05,1.422649206,0.341708408,9.500566544,1.42209,0.342356,9.49978,1.47955,0.373479,9.53091,1.38379,0.313627,9.46866,0.000157464,8.70E-05,8.82E-05,1.512551183,0.311771532,9.485269133,1.42209,0.339962,9.49739,1.97753,0.476426,9.56442,1.08692,0.126887,9.38247,0.041981686,0.004804922,0.001280557,0.064272833,0.007108055,0.001873342,0.057913834,0.006983555,0.001685886,0
1.414492883,0.343537217,9.502760533,1.41491,0.342356,9.50218,1.44843,0.371085,9.53091,1.38858,0.318415,9.47584,6.95E-05,8.52E-05,8.99E-05,1.41793805,0.342485154,9.500896361,1.41731,0.342356,9.49978,1.45561,0.373479,9.5333,1.38139,0.313627,9.46866,0.000110149,8.45E-05,8.92E-05,1.45797333,0.329721285,9.494506762,1.41731,0.342356,9.49978,1.97513,0.476426,9.56442,1.08692,0.141252,9.38487,0.020670362,0.002384567,0.000680567,0.059356749,0.006586985,0.00174462,0.062418641,0.006822516,0.001811985,0
1.412478233,0.343585127,9.500442083,1.41252,0.342356,9.49978,1.44125,0.373479,9.53091,1.38379,0.318415,9.46866,6.60E-05,8.78E-05,9.23E-05,1.414789081,0.342813677,9.501415069,1.41491,0.342356,9.50218,1.45561,0.373479,9.5333,1.38139,0.313627,9.46866,9.16E-05,8.38E-05,8.74E-05,1.41685191,0.342251198,9.501230188,1.41491,0.342356,9.50218,1.47955,0.387844,9.5333,1.37421,0.306445,9.46866,0.000176558,8.58E-05,8.93E-05,0.05295074,0.005872675,0.001561673,0.066962124,0.00665719,0.001942757,0
1.410834283,0.343429483,9.5006455,1.41012,0.34475,9.49978,1.45561,0.371085,9.5333,1.38139,0.313627,9.46866,8.58E-05,7.74E-05,9.42E-05,1.411994647,0.343139536,9.502045483,1.41252,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,8.14E-05,8.46E-05,8.87E-05,1.41330742,0.342646224,9.501498307,1.41252,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,0.000127406,8.45E-05,8.92E-05,0.044983994,0.004979051,0.001336346,0.070680041,0.006383547,0.002028842,0
1.409729017,0.342204502,9.503087517,1.41012,0.342356,9.50218,1.43407,0.371085,9.53091,1.38618,0.316021,9.48063,6.23E-05,7.69E-05,7.69E-05,1.409932497,0.343230647,9.502017539,1.41012,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,8.20E-05,8.42E-05,9.04E-05,1.410811552,0.342884038,9.501571335,1.41012,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,0.000106423,8.43E-05,8.83E-05,0.035357381,0.003930063,0.001059466,0.072456982,0.006143528,0.002082947,0
1.407602367,0.343042442,9.503474567,1.40773,0.342356,9.50457,1.45801,0.387844,9.52851,1.37421,0.306445,9.47584,8.72E-05,9.47E-05,9.05E-05,1.408126403,0.343094321,9.501782081,1.40773,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,8.03E-05,8.38E-05,9.03E-05,1.408575082,0.343047634,9.501795582,1.40773,0.342356,9.50218,1.45801,0.387844,9.5333,1.37421,0.306445,9.46866,9.08E-05,8.44E-05,8.89E-05,0.02670278,0.002851177,0.000816982,0.073975627,0.005837256,0.002128927,0
