minutes,tags,accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances
5.54 AM,1,1.7503174,0.546081975,9.460656517,-8.04E-05,-2.46E-05,-4.57E-05,1.781562883,0.554870498,9.62748855,-20.050902,6.112343083,-37.84964483,1.75009,0.545855,9.46148,0.000158769,0.00019788,-0.000327315,1.78161,0.5548335,9.62749,-20.0071,6.1087,-37.95315,1.786,0.581766,9.49021,0.00382396,0.00752826,0.00211614,1.78597,0.560084,9.62826,-17.7606,8.7869,-35.4015,1.70939,0.519519,9.43036,-0.00345893,-0.00591077,-0.00220368,1.77719,0.550315,9.62657,-22.4237,3.12323,-40.5206,9.68E-05,8.98E-05,9.36E-05,1.31E-06,2.36E-06,5.34E-07,3.73E-06,2.80E-06,1.25E-07,0.653905846,0.670081666,0.722781364
5.55 AM,1,1.751298817,0.547155322,9.457567717,4.59E-05,4.73E-05,5.49E-05,1.7825454,0.557159403,9.6271743,-20.0973515,6.123433433,-37.854711,1.75248,0.548249,9.45669,0.00020626,0.000298449,0.00028355,1.78236,0.557146,9.62719,-20.01675,6.09782,-37.81805,1.786,0.608101,9.49739,0.00398273,0.0045745,0.00339887,1.78772,0.563907,9.62823,-17.7205,8.05087,-35.7163,1.68784,0.476426,9.42796,-0.00395851,-0.00517931,-0.00215991,1.77756,0.551997,9.62627,-22.7281,3.76874,-40.3982,7.88E-05,0.000119695,9.45E-05,1.35E-06,2.41E-06,5.77E-07,4.32E-06,1.58E-06,1.33E-07,0.623170193,0.609400274,0.726609812
5.56 AM,1,1.754526967,0.54626952,9.460141867,0.000200673,0.000140367,5.45E-05,1.785005017,0.556159042,9.626776317,-20.10299233,6.176371683,-37.8165325,1.75487,0.545855,9.46148,0.000317538,-0.000230005,0.000188102,1.78509,0.556265,9.62676,-20.01875,6.12082,-37.9626,1.81712,0.579372,9.48781,0.00323404,0.00526778,0.002788,1.79091,0.559287,9.62822,-17.7455,8.49722,-35.8336,1.71178,0.514731,9.43036,-0.00334765,-0.00456845,-0.00225536,1.77691,0.551115,9.62577,-22.565,3.89008,-40.3863,0.000107132,9.29E-05,9.19E-05,1.33E-06,2.50E-06,5.95E-07,6.79E-06,2.21E-06,2.01E-07,0.611547884,0.639551173,0.711542692
5.57 AM,1,1.75721645,0.545870485,9.45826605,-4.48E-06,1.41E-05,-5.22E-05,1.787698067,0.554974028,9.6263436,-20.01364,6.121957,-37.797916,1.75727,0.545855,9.45908,0.000179721,-0.000230005,0.000188102,1.786515,0.554478,9.62662,-20.0011,5.98796,-37.6912,1.93204,0.701471,9.50697,0.00574082,0.00771031,0.00640896,1.80563,0.570297,9.62883,-17.7422,8.9236,-34.9642,1.59208,0.38545,9.3729,-0.00408143,-0.00866897,-0.00830813,1.77405,0.544098,9.62304,-22.2811,3.89332,-40.8326,0.000549878,0.000361988,0.00014374,2.39E-06,4.72E-06,1.47E-06,2.59E-05,1.21E-05,8.77E-07,0.597838498,0.567600017,0.744083961
5.58 AM,1,1.764099383,0.541940183,9.453170467,0.000150661,-0.000136694,-2.44E-05,1.796515333,0.553108007,9.6248109,-20.13585683,6.1178328,-37.79265933,1.76445,0.541066,9.4543,0.000169012,-0.000316607,0.000221625,1.7968,0.553005,9.62477,-20.1466,6.1083,-37.67875,1.80515,0.579372,9.48063,0.00535671,0.00518118,0.00269907,1.80234,0.557845,9.62587,-17.7336,8.65247,-35.4066,1.72136,0.507549,9.4136,-0.00380626,-0.00527383,-0.00340957,1.79026,0.547569,9.62378,-22.2811,3.44155,-40.5067,0.000101942,9.30E-05,8.30E-05,1.97E-06,4.01E-06,5.93E-07,5.44E-06,2.10E-06,1.57E-07,0.647668894,0.661543239,0.669397932
5.59 AM,1,1.703891467,0.525381023,9.464059633,-6.29E-05,-0.000737237,-0.000125427,1.741201117,0.535359668,9.634914633,-19.83160567,6.232573617,-37.82295517,1.75966,0.538672,9.45669,7.78E-05,-0.000386911,0.000221625,1.79434,0.551743,9.62526,-19.87375,6.13185,-37.93265,1.83388,0.687106,9.59555,0.0294919,0.0521475,0.0116241,1.8094,0.564167,9.71393,-15.1726,8.49704,-35.6975,1.1755,0.272927,9.41838,-0.0219134,-0.0852398,-0.0147893,1.27844,0.361526,9.62239,-22.2874,4.02331,-40.5818,0.021682682,0.002386272,0.000822205,1.21E-05,5.92E-05,4.27E-06,0.017855077,0.002015334,0.000581255,1.140660864,0.715989225,0.726616663
6.00 AM,1,1.734057817,0.491851605,9.465480383,0.000138066,-0.000280822,-4.88E-05,1.762665533,0.501787607,9.633613333,-19.9410865,6.378673717,-37.78179483,1.75248,0.49079,9.46148,1.91E-05,0.00019555,-0.000128505,1.782875,0.5029495,9.629785,-19.9946,6.53461,-37.674,1.85064,0.663165,9.56203,0.0188046,0.0754176,0.0108671,1.82091,0.564346,9.68577,-15.9384,8.50814,-34.635,1.30718,0.402209,9.38726,-0.0367841,-0.0687465,-0.0337261,1.46801,0.448477,9.62265,-22.5795,3.61229,-40.8344,0.004920233,0.000420722,0.000362646,1.10E-05,0.000123454,3.96E-06,0.004777514,0.000181288,0.000151468,0.743421589,0.614779407,0.723048116
6.01 AM,1,1.782486533,0.49697899,9.453809067,1.52E-05,0.000122853,-0.000100725,1.8137312,0.505504558,9.624199417,-20.0717895,6.320419217,-37.73077383,1.7836,0.495578,9.4543,0.000249095,-3.72E-05,0.000169012,1.81394,0.5056445,9.62416,-20.0122,6.26353,-37.6672,1.83627,0.541066,9.48063,0.00513601,0.00725728,0.00261247,1.82266,0.509463,9.62636,-17.5676,9.05026,-35.4118,1.73093,0.454879,9.42078,-0.00585955,-0.00984693,-0.00288531,1.80193,0.501371,9.6225,-22.5743,4.13377,-40.0778,0.000115949,0.000109924,9.72E-05,3.09E-06,7.12E-06,5.97E-07,1.38E-05,1.60E-06,4.79E-07,0.689920098,0.611863703,0.697577718
6.02 AM,1,1.78772955,0.496739597,9.4508161,-1.18E-05,-3.61E-05,-4.86E-05,1.81958665,0.505860738,9.623076083,-20.095378,6.363669267,-37.7789765,1.78839,0.497973,9.44951,-0.000304967,-7.31E-05,0.000191827,1.819475,0.505849,9.6231,-20.0797,6.282195,-37.6801,1.85782,0.576978,9.48063,0.00512391,0.0103116,0.00265903,1.82641,0.512572,9.62407,-17.7429,8.47858,-35.4153,1.74051,0.452485,9.42557,-0.00458102,-0.00801434,-0.00650394,1.81344,0.501959,9.62185,-23.0112,4.02988,-40.6809,8.96E-05,0.000114098,9.06E-05,2.90E-06,6.92E-06,6.62E-07,6.46E-06,1.77E-06,1.88E-07,0.599340126,0.603693122,0.68262483
6.03 AM,1,1.79114115,0.495833832,9.4493077,-0.000104281,-2.44E-05,-7.53E-05,1.824373333,0.505020157,9.622213467,-20.12990983,6.292962617,-37.7878445,1.79079,0.495578,9.44951,-0.000373875,-0.000295188,0.000191827,1.824335,0.5051225,9.6222,-20.1436,6.2477,-37.6774,1.83627,0.536278,9.48302,0.00573477,0.0100895,0.00454657,1.83006,0.509983,9.62403,-17.7422,8.9236,-35.398,1.7022,0.457273,9.42078,-0.00587166,-0.00945816,-0.00522727,1.81511,0.49884,9.62101,-23.0237,4.01243,-40.3716,0.000126209,0.000110283,9.67E-05,3.71E-06,1.06E-05,8.54E-07,5.71E-06,1.74E-06,1.78E-07,0.626405534,0.668656209,0.703501633
