accX_means,accY_means,accZ_means,gyroX_means,gyroY_means,gyroZ_means,gravX_means,gravY_means,gravZ_means,magX_means,magY_means,magZ_means,accX_medians,accY_medians,accZ_medians,gyroX_medians,gyroY_medians,gyroZ_medians,gravX_medians,gravY_medians,gravZ_medians,magX_medians,magY_medians,magZ_medians,accX_maxes,accY_maxes,accZ_maxes,gyroX_maxes,gyroY_maxes,gyroZ_maxes,gravX_maxes,gravY_maxes,gravZ_maxes,magX_maxes,magY_maxes,magZ_maxes,accX_mins,accY_mins,accZ_mins,gyroX_mins,gyroY_mins,gyroZ_mins,gravX_mins,gravY_mins,gravZ_mins,magX_mins,magY_mins,magZ_mins,accX_variances,accY_variances,accZ_variances,gyroX_variances,gyroY_variances,gyroZ_variances,gravX_variances,gravY_variances,gravZ_variances,magX_variances,magY_variances,magZ_variances,tags
1.118709777,0.079780709,9.548608186,5.18E-05,1.41E-05,3.52E-05,1.140801858,0.081766265,9.73972615,-10.25645408,28.89618433,-40.69256406,1.11804,0.0790053,9.54767,-1.58E-05,-0.000133161,0.000151785,1.14041,0.0817475,9.73977,-10.3307,28.8976,-40.69615,1.2593,0.225045,9.61949,0.00598666,0.0107833,0.00510342,1.15563,0.0925592,9.7412,-7.16903,31.894,-37.6783,0.938487,-0.0670348,9.48781,-0.00690249,-0.00754269,-0.00344869,1.1284,0.0701133,9.73807,-13.1884,26.1997,-43.8433,0.000131413,0.000108834,9.15E-05,1.69E-06,2.43E-06,5.55E-07,6.21E-06,1.40E-06,8.67E-08,0.607573803,0.605140536,0.673772013,0
1.117827958,0.079744798,9.548574942,3.45E-05,1.71E-05,3.12E-05,1.139815483,0.081640101,9.739842925,-10.2487984,28.91179436,-40.69857261,1.11804,0.0790053,9.54767,-0.000121987,-0.000139678,0.000151785,1.13982,0.08165145,9.73984,-10.3294,28.91565,-40.6963,1.2593,0.225045,9.61949,0.00598666,0.0107833,0.00510342,1.15563,0.0925592,9.7412,-7.16903,31.253,-37.6783,0.938487,-0.0670348,9.48781,-0.00690249,-0.00754269,-0.00344869,1.1284,0.0701133,9.73807,-13.1884,26.1997,-43.8433,0.000125994,0.000108516,9.27E-05,1.55E-06,2.19E-06,5.66E-07,2.32E-06,1.23E-06,3.18E-08,0.605035742,0.608955909,0.677000516,0
1.117638436,0.079799995,9.548223144,9.82E-06,2.39E-05,2.88E-05,1.1397089,0.081662517,9.739855253,-10.24891363,28.90047347,-40.69262794,1.11804,0.0790053,9.54767,-0.000121987,-0.000139678,0.000151785,1.13967,0.0816608,9.73986,-10.33,28.902,-40.6946,1.23775,0.122099,9.59555,0.00598666,0.00657099,0.00510342,1.15563,0.0925592,9.74103,-7.16903,31.2804,-37.6835,1.03186,-0.0670348,9.48781,-0.00690249,-0.00564631,-0.00344869,1.12941,0.0701133,9.73807,-13.1884,26.1997,-43.5648,7.71E-05,8.76E-05,8.68E-05,1.40E-06,1.83E-06,5.28E-07,1.77E-06,1.10E-06,2.44E-08,0.619183829,0.601771098,0.67988598,0
1.117279228,0.079792015,9.548425361,-2.52E-05,-1.44E-05,2.43E-05,1.139320183,0.081637065,9.739900956,-10.24491531,28.89016572,-40.70183631,1.11804,0.0790053,9.54767,-0.00018298,-0.000139678,0.000151785,1.13924,0.08165475,9.73991,-10.3285,28.8976,-40.696,1.14677,0.110129,9.58118,0.00591775,0.00649184,0.0026865,1.14474,0.0853852,9.74035,-7.16903,31.2804,-37.6835,1.09171,0.0526702,9.51415,-0.00690249,-0.00563746,-0.00231868,1.1355,0.0788794,9.73928,-13.3574,26.1997,-43.5648,5.81E-05,7.73E-05,8.41E-05,1.30E-06,1.59E-06,5.08E-07,1.52E-06,8.50E-07,2.08E-08,0.598224009,0.60398038,0.690154464,0
1.116918117,0.079839897,9.548148086,-3.02E-05,-1.55E-05,1.43E-06,1.138900847,0.081731064,9.739949211,-10.24449682,28.88839722,-40.712933,1.11804,0.0790053,9.54767,-0.000190895,-0.000139678,0.000151785,1.13883,0.08173945,9.73996,-10.3275,28.8964,-40.6997,1.14677,0.110129,9.58118,0.00591775,0.00649184,0.0026865,1.14474,0.0853852,9.74035,-7.16903,31.2804,-37.1069,1.09171,0.0526702,9.51175,-0.00690249,-0.00563746,-0.00231868,1.1355,0.0788794,9.73928,-13.3574,26.2049,-43.5648,5.83E-05,7.59E-05,8.77E-05,1.16E-06,1.30E-06,4.96E-07,1.21E-06,8.31E-07,1.68E-08,0.595937363,0.598207588,0.671983802,0
1.116598264,0.079986202,9.547959897,-3.19E-05,-1.81E-05,4.67E-06,1.138610306,0.08186352,9.739982036,-10.25850586,28.90499594,-40.70581167,1.11565,0.0790053,9.54767,-0.000197879,-0.000139678,0.00015551,1.13863,0.0818576,9.73998,-10.33075,28.8986,-40.6974,1.14677,0.110129,9.58118,0.0053148,0.00596897,0.0026865,1.14183,0.0852701,9.74042,-7.32544,31.2804,-37.1069,1.09171,0.0526702,9.51175,-0.00690249,-0.00810699,-0.00231868,1.13472,0.0788794,9.73962,-13.3574,26.2049,-43.5648,5.74E-05,7.69E-05,8.93E-05,1.14E-06,1.27E-06,5.00E-07,9.96E-07,9.89E-07,1.35E-08,0.59616041,0.609315541,0.675987399,0
1.116387472,0.080115217,9.548517178,-3.85E-05,-2.59E-05,2.10E-06,1.138540603,0.082020815,9.739988875,-10.27108512,28.90656639,-40.71305019,1.11565,0.0790053,9.54767,-0.0002179,-0.000150387,0.00015551,1.13863,0.0819891,9.73998,-10.3314,28.8964,-40.6978,1.22099,0.136464,9.58118,0.00464388,0.00528314,0.0026865,1.14404,0.0852701,9.74129,-7.32544,31.2804,-37.1069,1.01031,0.0430938,9.51175,-0.00633865,-0.00810699,-0.00226188,1.12723,0.0788794,9.73935,-13.3574,26.2049,-43.2746,7.11E-05,7.74E-05,9.04E-05,1.07E-06,1.22E-06,5.12E-07,1.53E-06,9.53E-07,2.08E-08,0.598995424,0.593987889,0.670026939,0
1.116057625,0.08029943,9.548414794,-3.68E-05,-3.03E-05,-1.36E-06,1.138297617,0.082120309,9.740016428,-10.2619355,28.90474061,-40.71903731,1.11565,0.0813994,9.54767,-0.0002179,-0.000150387,0.00015551,1.1383,0.08210225,9.74002,-10.3307,28.8942,-40.7,1.22099,0.136464,9.58118,0.00405815,0.00472116,0.0026865,1.14404,0.0852701,9.74129,-7.31646,31.2804,-37.1069,1.01031,0.0430938,9.51175,-0.00633865,-0.00810699,-0.0022493,1.12723,0.0788794,9.73935,-13.3574,26.2049,-43.2746,7.13E-05,7.63E-05,9.06E-05,1.02E-06,1.12E-06,5.07E-07,1.59E-06,9.64E-07,2.17E-08,0.602855549,0.585068065,0.671023537,0
1.115662578,0.080556795,9.548484656,-1.43E-05,-2.88E-05,8.97E-06,1.137813881,0.082213289,9.740072158,-10.24407656,28.90727886,-40.7363395,1.11565,0.0813994,9.54767,-0.000197879,-0.000150387,0.000194154,1.13781,0.0821709,9.74007,-10.3275,28.8959,-40.7065,1.22099,0.136464,9.57879,0.00585629,0.00472116,0.0026865,1.14404,0.0852701,9.74129,-7.16654,31.3002,-37.1069,1.01031,0.0430938,9.51175,-0.00633865,-0.00810699,-0.00228329,1.12723,0.0794351,9.73935,-13.3574,26.3506,-43.2746,7.10E-05,7.62E-05,9.00E-05,1.02E-06,1.18E-06,5.08E-07,1.78E-06,8.10E-07,2.49E-08,0.593934731,0.591614657,0.670501263,0
1.115274286,0.08080751,9.548317717,-1.57E-06,-1.92E-06,5.12E-06,1.137546897,0.082369132,9.740102031,-10.235262,28.909487,-40.73376778,1.11565,0.0813994,9.54767,-0.000197879,-0.000150387,0.000160166,1.13746,0.08228045,9.74011,-10.3249,28.8986,-40.7061,1.22099,0.138858,9.58118,0.00585629,0.00472116,0.00565795,1.14682,0.0925013,9.74129,-7.16654,31.415,-37.1069,1.01031,-0.0143646,9.51175,-0.00633865,-0.00810699,-0.00472675,1.12723,0.0733169,9.73901,-13.0607,26.3506,-43.2346,8.25E-05,8.40E-05,9.36E-05,9.34E-07,1.08E-06,5.24E-07,2.11E-06,1.05E-06,2.91E-08,0.607221409,0.587784696,0.643843699,0
