accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means6,accY_means6,accZ_means6,accX_medians6,accY_medians6,accZ_medians6,accX_maxes6,accY_maxes6,accZ_maxes6,accX_mins6,accY_mins6,accZ_mins6,accX_variances6,accY_variances6,accZ_variances6,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_variances20,accY_variances20,accZ_variances20,accX_variances30,accY_variances30,accZ_variances30,tags
0.900045392,0.338749052,9.591983983,0.900181,0.339962,9.59076,0.924122,0.368691,9.64104,0.873846,0.311233,9.56203,7.57E-05,8.00E-05,9.55E-05,1.030339522,0.410192266,9.573250236,0.902575,0.342356,9.58836,1.56813,0.837935,9.68174,0.598525,0.047882,9.46387,0.058153352,0.017080136,0.001294604,1.110495444,0.439509863,9.56061706,0.907363,0.347144,9.58597,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.094039426,0.021963253,0.002405077,0.143586487,0.01593302,0.00363903,0.157220102,0.013826869,0.004057576,1
1.074543388,0.433343883,9.568916967,0.914546,0.354327,9.58358,1.54419,0.837935,9.68174,0.598525,0.047882,9.46387,0.048578655,0.01433755,0.001182602,1.136116763,0.469161579,9.557006369,0.909757,0.349538,9.58118,1.65672,0.837935,9.68174,0.598525,0.047882,9.40402,0.086635809,0.02633738,0.001999905,1.19201093,0.460015322,9.548049333,0.912152,0.351933,9.58118,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.120159807,0.021782595,0.00305842,0.15108095,0.015893229,0.003818606,0.160960179,0.013851866,0.004140491,1
1.508944083,0.668986977,9.504476183,1.51786,0.672742,9.50457,1.56813,0.816388,9.56682,1.37421,0.550643,9.46627,0.000671132,0.000438606,0.000135526,1.250099198,0.505116281,9.540027647,1.40534,0.541066,9.52612,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.107956292,0.02578901,0.002883168,1.274686776,0.480337229,9.535268918,1.40534,0.529096,9.52612,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.133517689,0.020651132,0.003404322,0.154985724,0.015648091,0.003920988,0.16316721,0.013807622,0.004187894,1
1.535055983,0.694847297,9.494899783,1.53462,0.694289,9.495,1.65672,0.837935,9.53809,1.43885,0.620072,9.40402,0.000199922,0.000223081,0.000125957,1.386810228,0.539892562,9.519056842,1.52265,0.555431,9.50218,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.105337905,0.02029597,0.00293649,1.358066078,0.500428905,9.522180473,1.52265,0.541066,9.50218,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.133691373,0.01869384,0.003453561,0.155556638,0.015212448,0.003942584,0.164036995,0.013635816,0.004225333,1
1.583321557,0.555682273,9.48871505,1.67108,0.553037,9.47584,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.062055409,0.013780742,0.003585898,1.524719683,0.574091592,9.497763486,1.5418,0.555431,9.48781,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.066168467,0.012388776,0.002096078,1.442199521,0.520397684,9.509072833,1.5418,0.54346,9.48781,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.120221652,0.015874571,0.003206524,0.152671961,0.014581323,0.003885561,0.162286557,0.013348066,0.004176305,1
1.718950967,0.547745888,9.465349083,1.71896,0.548249,9.46627,1.76206,0.62486,9.495,1.6232,0.505155,9.42317,0.000179028,0.000131644,9.15E-05,1.634660046,0.592192308,9.479857081,1.70699,0.555431,9.47345,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.019569658,0.006569954,0.000971572,1.52639362,0.540599087,9.496031085,1.70699,0.545855,9.47584,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.09249428,0.012223488,0.002595854,0.146214597,0.013751617,0.003737514,0.159329846,0.012871198,0.004064729,1
1.727502117,0.543943232,9.46422385,1.72854,0.54346,9.46387,1.76684,0.593737,9.4926,1.67587,0.507549,9.43754,0.000107606,0.000109837,8.66E-05,1.673296259,0.570634787,9.472362881,1.72375,0.548249,9.46627,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.017221156,0.005525302,0.000875535,1.610690265,0.560881889,9.48289396,1.72136,0.545855,9.46866,2.4324,1.59926,10.3832,0.505155,0.047882,9.20052,0.050848875,0.00773867,0.001628223,0.136231895,0.012690087,0.00349884,0.155755091,0.012334745,0.003970145,1
1.734185567,0.541948183,9.461478533,1.73333,0.541066,9.46148,1.84824,0.591342,9.49739,1.56095,0.421361,9.42796,0.000287014,0.000153212,0.000105701,1.707557893,0.54501061,9.466672322,1.73093,0.54346,9.46387,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.013597529,0.00242076,0.00077582,1.677602134,0.571762668,9.471994478,1.72854,0.545855,9.46627,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.014548838,0.004606708,0.000713037,0.122530226,0.0113983,0.003177072,0.150480744,0.011731332,0.003849101,1
1.740761367,0.539641847,9.459510983,1.74051,0.538672,9.45908,1.786,0.581766,9.48781,1.7022,0.502761,9.43275,8.66E-05,9.61E-05,8.85E-05,1.734172939,0.542659743,9.461988603,1.73572,0.54346,9.46148,1.84824,0.62486,9.49739,1.56095,0.421361,9.4136,0.000220319,0.000120548,9.87E-05,1.701683207,0.55937082,9.467465265,1.73333,0.545855,9.46387,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.011601617,0.003548944,0.000601235,0.10525976,0.009881192,0.002777326,0.143487761,0.011061129,0.003690097,1
1.740625783,0.541102235,9.460756433,1.74051,0.541066,9.46148,1.76206,0.579372,9.4926,1.70939,0.514731,9.42796,8.43E-05,9.70E-05,9.53E-05,1.738291458,0.541727373,9.461084114,1.73812,0.541066,9.46148,1.84824,0.610495,9.49739,1.56095,0.421361,9.4136,0.000166905,0.000109885,9.66E-05,1.723209349,0.544494288,9.464040938,1.73812,0.54346,9.46148,2.4324,1.59926,10.3832,0.505155,0.284898,9.20052,0.008587512,0.001496253,0.000515634,0.084434735,0.00825259,0.002308986,0.134890251,0.010345228,0.003513365,1
