accX_means1,accY_means1,accZ_means1,accX_medians1,accY_medians1,accZ_medians1,accX_maxes1,accY_maxes1,accZ_maxes1,accX_mins1,accY_mins1,accZ_mins1,accX_variances1,accY_variances1,accZ_variances1,accX_means5,accY_means5,accZ_means5,accX_medians5,accY_medians5,accZ_medians5,accX_maxes5,accY_maxes5,accZ_maxes5,accX_mins5,accY_mins5,accZ_mins5,accX_variances5,accY_variances5,accZ_variances5,accX_means10,accY_means10,accZ_means10,accX_medians10,accY_medians10,accZ_medians10,accX_maxes10,accY_maxes10,accZ_maxes10,accX_mins10,accY_mins10,accZ_mins10,accX_variances10,accY_variances10,accZ_variances10,accX_means20,accY_means20,accZ_means20,accX_medians20,accY_medians20,accZ_medians20,accX_maxes20,accY_maxes20,accZ_maxes20,accX_mins20,accY_mins20,accZ_mins20,accX_variances20,accY_variances20,accZ_variances20,accX_means30,accY_means30,accZ_means30,accX_medians30,accY_medians30,accZ_medians30,accX_maxes30,accY_maxes30,accZ_maxes30,accX_mins30,accY_mins30,accZ_mins30,accX_variances30,accY_variances30,accZ_variances30,tags
1.17793615,0.082744057,9.543524333,1.1779,0.0837935,9.54288,1.24972,0.126887,9.574,1.13001,0.0359115,9.51415,0.000152104,0.000123683,9.64E-05,1.215428745,0.050636797,9.542255283,1.1755,0.071823,9.54527,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.021614851,0.005162969,0.000746327,1.348023396,0.009636246,9.522030182,1.43646,-0.0215469,9.51415,2.54972,1.00792,9.86369,0.258563,-1.41252,9.04251,0.031383051,0.004725392,0.001159048,1.684105683,0.326356285,9.169497941,1.44364,-0.0143646,9.51175,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.987625923,1.71797281,2.096383021,1.684105683,0.326356285,9.169497941,1.44364,-0.0143646,9.51175,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.987625923,1.71797281,2.096383021,1
1.144359333,0.063571329,9.545994067,1.13959,0.0622466,9.54527,1.31675,0.181951,9.64822,0.909757,-0.14604,9.48302,0.000963109,0.000567394,0.000191493,1.153537365,0.070012246,9.54923654,1.16593,0.0742171,9.54767,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.004874501,0.003246894,0.000400332,1.324122316,0.017407094,9.524747123,1.26169,0.0047882,9.52851,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.033408353,0.004598748,0.000946851,1.63912682,0.304457539,9.200872618,1.39337,0.023941,9.51894,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.844304727,1.580111571,1.93250568,1.63912682,0.304457539,9.200872618,1.39337,0.023941,9.51894,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.844304727,1.580111571,1.93250568,1
1.123095433,0.061025608,9.548631517,1.12283,0.0598525,9.54767,1.21381,0.107734,9.58118,1.07974,0.0167587,9.51894,0.000108171,9.04E-05,8.50E-05,1.152680233,0.071670561,9.54677142,1.16114,0.071823,9.54767,1.45082,0.227439,9.64822,0.799629,-0.14604,9.45669,0.001448838,0.000436146,0.000145382,1.289589034,0.02632791,9.52925683,1.18268,0.0526702,9.53809,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.034117044,0.004478102,0.00092093,1.599432098,0.285732005,9.227623303,1.2976,0.0430938,9.52851,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.721335726,1.462764176,1.792427153,1.599432098,0.285732005,9.227623303,1.2976,0.0430938,9.52851,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.721335726,1.462764176,1.792427153,1
1.1187024,0.062430147,9.549565267,1.11804,0.0622466,9.55006,1.16593,0.14604,9.58358,1.07974,0.0359115,9.52133,9.26E-05,8.93E-05,8.00E-05,1.148267864,0.070156695,9.546393157,1.13959,0.0694289,9.54767,1.45082,0.217863,9.64822,0.799629,-0.14604,9.47345,0.001106649,0.000329008,0.00011873,1.250548479,0.036510017,9.534475613,1.17311,0.0598525,9.54288,2.54972,1.00792,9.77989,0.258563,-1.41252,9.31065,0.030694165,0.004073315,0.000831003,1.565094263,0.269781873,9.250619158,1.215005,0.0502761,9.5333,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.613705095,1.36158263,1.671262447,1.565094263,0.269781873,9.250619158,1.215005,0.0502761,9.5333,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.613705095,1.36158263,1.671262447,1
1.139567167,0.081854246,9.549433267,1.14677,0.0766112,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.009571975,0.002594275,0.000575462,1.140732097,0.070325077,9.54742969,1.13241,0.0670348,9.54767,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002613836,0.000788442,0.000210872,1.212674312,0.048436622,9.539873082,1.16353,0.0646407,9.54527,2.54972,1.00792,9.77989,-0.440514,-1.41252,9.31065,0.024268476,0.003840418,0.000720888,1.53672579,0.257253364,9.270540098,1.18987,0.0526702,9.5357,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.518017975,1.273170784,1.565427306,1.53672579,0.257253364,9.270540098,1.18987,0.0526702,9.5357,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.518017975,1.273170784,1.565427306,1
1.129328345,0.078646173,9.551636067,1.13001,0.0790053,9.55245,1.23057,0.165193,9.63146,0.938487,0.023941,9.46866,0.000261953,0.000124054,0.000113853,1.131010536,0.069505501,9.549052037,1.12762,0.0670348,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002290334,0.000770841,0.00021221,1.17321964,0.060071149,9.54565366,1.14199,0.0694289,9.54767,2.54972,1.00792,9.77989,-0.440514,-1.41252,9.31065,0.013732505,0.003055432,0.000490739,1.511263449,0.246090415,9.288108596,1.18268,0.0574584,9.53809,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.432874289,1.195466428,1.472215275,1.511263449,0.246090415,9.288108596,1.18268,0.0574584,9.53809,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.432874289,1.195466428,1.472215275,1
1.1273688,0.079647704,9.549193917,1.12762,0.0790053,9.55006,1.19466,0.129281,9.58118,1.07495,0.0526702,9.52372,0.000108175,8.23E-05,8.79E-05,1.127612429,0.072720776,9.549692007,1.12523,0.071823,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002075027,0.000677142,0.000189247,1.140574897,0.071366511,9.549464273,1.1348,0.071823,9.55006,2.54972,1.00792,9.77989,-0.440514,-1.41252,9.31065,0.003642239,0.001963525,0.000294792,1.488681411,0.236299667,9.303466556,1.1779,0.0598525,9.54048,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.35674563,1.126676702,1.38938529,1.488681411,0.236299667,9.303466556,1.1779,0.0598525,9.54048,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.35674563,1.126676702,1.38938529,0
1.1223812,0.079819281,9.5480289,1.12283,0.0790053,9.54767,1.14438,0.107734,9.57161,1.09889,0.0502761,9.52133,7.21E-05,7.87E-05,7.85E-05,1.127469582,0.07647951,9.549571483,1.12523,0.0766112,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.002069204,0.000643373,0.000188278,1.140074908,0.074075036,9.548171452,1.13241,0.0742171,9.54767,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.001917649,0.000545452,0.000168763,1.468331399,0.227606312,9.317053353,1.17311,0.0622466,9.54048,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.288408637,1.065367003,1.315332936,1.468331399,0.227606312,9.317053353,1.17311,0.0622466,9.54048,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.288408637,1.065367003,1.315332936,0
1.117824678,0.078957404,9.5498205,1.11804,0.0790053,9.55006,1.2593,0.225045,9.61949,0.938487,-0.0119705,9.50936,0.000353065,0.000199507,0.000120544,1.127294038,0.079784962,9.54962253,1.12523,0.0790053,9.55006,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.00212443,0.000616193,0.000196376,1.137780951,0.074970828,9.548007843,1.13001,0.0742171,9.54767,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.001725264,0.000495701,0.000160134,1.449883677,0.219782686,9.329304256,1.16832,0.0646407,9.54288,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.22673653,1.010402481,1.248806908,1.449883677,0.219782686,9.329304256,1.16832,0.0646407,9.54288,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.22673653,1.010402481,1.248806908,0
1.118335583,0.080162437,9.54717905,1.11804,0.0813994,9.54767,1.23775,0.122099,9.59555,1.03186,-0.0670348,9.48781,0.000174686,0.000134803,9.25E-05,1.123047721,0.0794466,9.549171687,1.12283,0.0790053,9.55006,1.2593,0.225045,9.63146,0.938487,-0.0670348,9.46866,0.000215362,0.000124012,0.000100901,1.131889909,0.074885838,9.548300688,1.12523,0.0742171,9.54767,1.64235,0.538672,9.67455,-0.440514,-0.189134,9.40163,0.001492561,0.000476955,0.000156619,1.433306273,0.212801673,9.340197995,1.16114,0.0646407,9.54288,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.170625144,0.960810909,1.188620964,1.433306273,0.212801673,9.340197995,1.16114,0.0646407,9.54288,19.8782,7.93644,11.2403,-4.60864,-4.2998,-0.610495,1.170625144,0.960810909,1.188620964,0
