accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
29.41240668,11.84787288,19.65302797,60.91330753,25.86179809,11.45250294,18.25021795,55.56451898,24.62751337,16.11967469,19.7906666,60.53785466,24.62751337,16.11967469,19.7906666,60.53785466,1
36.2964815,11.1652518,25.64833582,73.11006912,25.34301593,10.91531043,20.83059152,57.08891788,23.69704957,15.19920416,20.10420794,59.00046167,23.69704957,15.19920416,20.10420794,59.00046167,1
40.05287855,10.33291642,25.76886985,76.15466482,24.27067023,10.16065494,23.75453423,58.1858594,22.57549169,14.55769773,20.63392933,57.76711875,22.57549169,14.55769773,20.63392933,57.76711875,1
38.83657908,10.63659897,14.82816319,64.30134124,23.021047,8.920057109,26.58486319,58.5259673,21.47027716,14.12154497,20.79835728,56.39017941,21.47027716,14.12154497,20.79835728,56.39017941,1
10.03350249,4.297962592,1.580493991,15.91195907,22.55471145,7.860284439,28.47155996,58.88655585,20.47841035,13.81898971,20.69687762,54.99427768,20.47841035,13.81898971,20.69687762,54.99427768,1
0.541219321,1.223705429,1.18914957,2.95407432,24.1843583,7.656025816,25.81038988,57.650774,19.93040209,13.07939257,19.88275198,52.89254664,19.93040209,13.07939257,19.88275198,52.89254664,1
0.504480467,1.286911567,1.591192132,3.382584166,24.34282991,7.477102925,22.97428554,54.79421838,19.0767596,12.4439476,20.38359301,51.90430021,19.0767596,12.4439476,20.38359301,51.90430021,1
0.780173875,5.253320398,3.905212464,9.938706737,24.9678272,8.358823987,17.70274068,51.02939187,18.56542739,12.47299132,19.73330494,50.77172365,18.56542739,12.47299132,19.73330494,50.77172365,1
0.835250434,8.805849699,4.279271785,13.92037192,23.29250375,9.841987932,9.698681579,42.83317326,17.16300073,10.67021873,19.3343416,47.16756106,18.13083477,12.89564375,18.86374194,49.89022046,1
0.667463906,8.611237733,5.106490369,14.38519201,5.832365764,9.888525966,3.985935337,19.70682707,16.51724726,10.48844371,18.94074567,45.94643664,17.64823733,13.46429949,18.14061541,49.25315223,1
0.931305491,7.716392004,6.451739225,15.09943672,0.820321623,10.70724935,4.70079887,16.22836984,16.4378669,11.1525768,18.7974108,46.3878545,17.18839008,13.77262139,17.52730148,48.48831295,1
0.733637209,3.377531801,3.02532414,7.13649315,0.852059362,11.92536153,5.093158738,17.87057963,16.39217257,11.52226679,18.60076244,46.5152018,16.74277807,14.04798117,16.80221926,47.5929785,1
0.568427158,0.847775114,1.782784088,3.19898636,0.832769461,11.93370972,5.165309166,17.93178835,16.29494426,12.0353665,18.45300169,46.78331245,16.28736174,14.32580008,16.14450979,46.75767161,1
0.522363182,0.62299135,1.523788279,2.669142811,0.729860679,10.05418256,4.851983276,15.63602652,16.20059882,12.3805607,18.27289095,46.85405047,15.87351053,14.38485724,15.53998557,45.79835334,1
0.320904748,0.478116591,0.927510458,1.726531797,0.508346063,6.820246015,4.284849602,11.61344168,16.1558159,12.41689592,17.62217256,46.19488438,15.47724007,14.38662837,14.97963142,44.84349986,1
0.031764973,0.1416247,0.233425493,0.406815166,0.508807419,4.928749542,4.159781168,9.597338129,15.91754141,12.38424068,15.3113466,43.61312869,15.0903894,14.42452278,14.46058545,43.97549763,1
0.028499873,0.140071054,0.232266205,0.400837132,0.382151352,1.914991627,1.768939992,4.066082971,15.31401809,12.17976611,12.4783611,39.9721453,14.71281719,14.45486518,13.96641254,43.13409491,1
9.613752255,1.490305606,8.920596937,20.0246548,5.413927688,1.192308573,5.919022175,12.52525844,16.58487404,11.16699122,12.92131925,40.67318451,15.36282418,14.17407664,15.22615624,44.76305706,1
10.53976747,2.338100579,11.26194175,24.1398098,6.022963925,1.484826466,6.670987247,14.17877764,15.30554767,11.67490221,10.34544633,37.32589621,14.0909529,12.19626213,15.21675489,41.50396992,1
