accX_variances5,accY_variances5,accZ_variances5,accSum_variance5,accX_variances10,accY_variances10,accZ_variances10,accSum_variance10,accX_variances20,accY_variances20,accZ_variances20,accSum_variance20,accX_variances30,accY_variances30,accZ_variances30,accSum_variance30,tags
0.002191863,0.000668374,0.000161185,0.003021422,0.0032653,0.00114168,0.000270445,0.004677425,2.271117509,2.126219242,3.276572468,7.673909219,2.000024083,2.39892983,2.553856318,6.952810231,1
0.000121765,7.71E-05,9.44E-05,0.000293265,0.003556981,0.001176962,0.000231983,0.004965926,2.26579167,2.126895059,3.278545393,7.671232122,1.935167494,2.32232651,2.468142485,6.725636489,1
7.16E-05,7.15E-05,9.48E-05,0.0002379,0.003214238,0.001041423,0.000137163,0.004392824,2.26007768,2.127988475,3.280237886,7.668304041,1.874345787,2.2504013,2.387952835,6.512699922,1
6.88E-05,7.08E-05,9.60E-05,0.0002356,0.002907258,0.000980161,0.000134797,0.004022216,2.246479672,2.128996439,3.282356252,7.657832363,1.817253846,2.182743042,2.312758784,6.312755672,1
6.36E-05,7.23E-05,9.63E-05,0.0002322,0.002238504,0.000740348,0.000133586,0.003112438,2.247051788,2.130906004,3.282797545,7.660755337,1.682297397,1.760275101,2.271381879,5.713954377,1
5.85E-05,7.28E-05,9.48E-05,0.0002261,0.001370261,0.000404842,0.000128074,0.001903177,2.247805698,2.132381765,3.283147656,7.663335119,1.529040427,1.444491108,2.22452392,5.198055455,1
5.98E-05,7.08E-05,9.49E-05,0.0002255,0.000117674,7.41E-05,9.57E-05,0.000287474,2.196689277,2.129080013,3.287069081,7.612838371,1.530265647,1.444502232,2.223661325,5.198429204,1
5.81E-05,7.06E-05,9.45E-05,0.0002232,7.64E-05,7.11E-05,9.56E-05,0.0002431,2.191724711,2.129957046,3.287701991,7.609383748,1.532140039,1.444838131,2.223410024,5.200388194,1
5.99E-05,6.98E-05,9.16E-05,0.0002213,7.15E-05,7.04E-05,9.39E-05,0.0002358,2.12603081,2.109362499,3.274855961,7.51024927,1.533904206,1.44504273,2.223212953,5.202159889,1
0.03142397,0.023544378,0.018617932,0.07358628,0.016049297,0.012250225,0.009363691,0.037663213,1.082987176,0.482731412,1.825424599,3.391143187,1.538116222,1.446057331,2.225639844,5.209813397,1
