accX_variances5,accY_variances5,accZ_variances5,,accX_variances10,accY_variances10,accZ_variances10,,accX_variances20,accY_variances20,accZ_variances20,,accX_variances30,accY_variances30,accZ_variances30,,tags
0.001473263,0.000734548,0.000196886,0.002404697,0.001146235,0.000632699,0.000177869,0.001956803,0.001987682,0.001026882,0.000278053,0.003292617,1.22806931,2.068733486,5.889216518,9.186019314,1
0.001064113,0.000596273,0.000158065,0.001818451,0.001122146,0.00063309,0.000177561,0.001932797,0.001973351,0.001015477,0.000269904,0.003258732,1.184626606,1.995447152,5.679669108,8.859742866,1
0.022735407,0.005181314,0.000855449,0.02877217,0.01252737,0.002942972,0.000528759,0.015999101,0.00776981,0.00210136,0.000433364,0.010304534,1.144741301,1.928488312,5.484121996,8.557351609,1
0.035404099,0.005036791,0.000926576,0.041367466,0.021480729,0.002907519,0.000574324,0.024962572,0.013188523,0.00209092,0.000453129,0.015732572,1.105742387,1.865098968,5.301128194,8.271969549,1
0.039656167,0.004890004,0.000937847,0.045484018,0.028996161,0.002936748,0.000633485,0.032566394,0.018481606,0.002095772,0.000467494,0.021044872,1.069437315,1.805753093,5.12984651,8.005036918,1
0.033723365,0.004986869,0.000924425,0.039634659,0.033783515,0.002990139,0.000668911,0.037442565,0.023003491,0.002129487,0.000485558,0.025618536,0.261132975,0.122347941,1.89309911,2.276580026,1
0.01692445,0.004844624,0.000821589,0.022590663,0.035683497,0.002882254,0.000676792,0.039242543,0.026194236,0.002122026,0.000503062,0.028819324,0.261915961,0.118583337,1.892711353,2.273210651,1
0.000941538,0.000296808,0.000120369,0.001358715,0.03611641,0.002810824,0.000670372,0.039597606,0.029453827,0.001809489,0.000486476,0.031749792,0.26414526,0.117707279,1.891872308,2.273724847,1
0.000954829,0.000303113,0.000115396,0.001373338,0.033958936,0.002691175,0.000643762,0.037293873,0.032544806,0.001750962,0.000502963,0.034798731,0.265826479,0.116091493,1.890895292,2.272813264,1
0.001058823,0.000316242,0.000114834,0.001489899,0.028832299,0.002603285,0.000593422,0.032029006,0.03493952,0.001717818,0.000510227,0.037167565,0.161924435,0.078224494,1.191315078,1.431464007,1
0.000481094,0.000162682,9.59E-05,0.000739676,0.020653686,0.002580252,0.000541937,0.023775875,0.036459701,0.001656514,0.000509795,0.03862601,0.031473197,0.001584771,0.000555882,0.03361385,1
0.000164346,0.000112446,8.89E-05,0.000365692,0.0094382,0.002507454,0.00046432,0.012409974,0.037445364,0.001636815,0.000517858,0.039600037,0.033812189,0.001557849,0.000562403,0.035932441,0
0.000160714,0.000128203,8.93E-05,0.000378217,0.000849109,0.000233794,0.000108598,0.001191501,0.037692309,0.001632842,0.000526765,0.039851916,0.035717378,0.00150882,0.000562398,0.037788596,0
0.00016464,0.000130746,9.24E-05,0.000387786,0.000786653,0.000230433,0.000105785,0.001122871,0.037085142,0.00159487,0.000524713,0.039204725,0.037370079,0.00148995,0.000551851,0.03941188,0
0.000165047,0.000128271,0.000104664,0.000397982,0.000803992,0.000229533,0.0001107,0.001144225,0.035861399,0.001596056,0.000521817,0.037979272,0.03860716,0.001484217,0.000529719,0.040621096,0
0.000146798,0.000125455,0.00010557,0.000377823,0.000446488,0.000147306,0.000101026,0.00069482,0.033751072,0.001574187,0.000508567,0.035833826,0.039394481,0.001473924,0.000516441,0.041384846,0
0.000141303,0.000125955,0.000105132,0.00037239,0.000200348,0.000120205,9.70E-05,0.000417553,0.031176882,0.001501304,0.000484121,0.033162307,0.039515402,0.001456338,0.000507829,0.041479569,0
0.000121278,0.000116255,0.000100557,0.00033809,0.000166434,0.000123141,9.55E-05,0.000385075,0.027683996,0.001467585,0.000451923,0.029603504,0.039514619,0.001247687,0.000479565,0.041241871,0
0.000122401,0.000114427,9.63E-05,0.000333128,0.00015439,0.00012318,9.51E-05,0.00037267,0.023379954,0.001410101,0.000411343,0.025201398,0.039270109,0.001208582,0.000472897,0.040951588,0
0.000102057,0.000102796,8.58E-05,0.000290653,0.000137608,0.000115793,9.54E-05,0.000348801,0.018193529,0.001366093,0.000368292,0.019927914,0.038645168,0.001183926,0.00046397,0.040293064,0
0.00010042,0.000102757,8.73E-05,0.000290477,0.000124982,0.000114311,9.65E-05,0.000335793,0.012145136,0.001357785,0.000329854,0.013832775,0.03754503,0.001142483,0.000450387,0.0391379,0
9.88E-05,0.00010275,8.82E-05,0.00028975,0.000121412,0.00011463,9.68E-05,0.000332842,0.00528315,0.001326866,0.000282318,0.006892334,0.036176787,0.001129393,0.000439606,0.037745786,0
8.32E-05,9.26E-05,8.60E-05,0.0002618,0.000103928,0.000104501,9.33E-05,0.000301729,0.000681744,0.000180875,0.000100958,0.000963577,0.034476688,0.001123368,0.000430871,0.036030927,0
7.70E-05,9.11E-05,8.50E-05,0.0002531,0.000102511,0.000102862,9.07E-05,0.000296073,0.000580811,0.000174439,9.82E-05,0.00085345,0.032316608,0.001097553,0.000419813,0.033833974,0
7.10E-05,8.99E-05,8.64E-05,0.0002473,8.91E-05,9.66E-05,8.61E-05,0.0002718,0.000541653,0.000167705,9.84E-05,0.000807758,0.029934747,0.00109632,0.000410725,0.031441792,0
7.04E-05,8.95E-05,8.74E-05,0.0002473,8.86E-05,9.64E-05,8.74E-05,0.0002724,0.000328789,0.000124613,9.42E-05,0.000547602,0.027178741,0.001081771,0.000395744,0.028656256,0
7.13E-05,8.75E-05,8.62E-05,0.000245,8.86E-05,9.53E-05,8.74E-05,0.0002713,0.000175541,0.000109324,9.22E-05,0.000377065,0.024352522,0.001033555,0.000372743,0.02575882,0
7.20E-05,8.62E-05,8.87E-05,0.0002469,8.08E-05,8.96E-05,8.77E-05,0.0002581,0.000145876,0.000107432,9.16E-05,0.000344908,0.021032715,0.001010118,0.000344954,0.022387787,0
6.98E-05,8.51E-05,8.98E-05,0.0002447,7.56E-05,8.83E-05,8.77E-05,0.0002516,0.000131637,0.000106688,9.14E-05,0.000329725,0.017319903,0.000972514,0.000312975,0.018605392,0
6.85E-05,8.20E-05,9.09E-05,0.0002414,7.29E-05,8.60E-05,8.87E-05,0.0002476,0.000117473,0.000101685,9.20E-05,0.000311158,0.013177699,0.000943622,0.000279796,0.014401117,0
7.00E-05,8.16E-05,9.23E-05,0.0002439,7.25E-05,8.55E-05,8.98E-05,0.0002478,0.00010859,0.000100518,9.32E-05,0.000302308,0.008636659,0.000938813,0.000251576,0.009827048,0
6.96E-05,8.29E-05,9.18E-05,0.0002443,7.16E-05,8.53E-05,8.93E-05,0.0002462,0.000105716,0.000100221,9.30E-05,0.000298937,0.003726487,0.000918582,0.000218437,0.004863506,1
